node_id,ris_global_score,fair_ris_score
2628,0.0,0.0
2652,0.0,0.0
2659,0.0,0.0
2684,0.0,0.0
2692,0.0,0.0
2727,0.0,0.0
2730,0.0,0.0
2744,0.0,0.0
2787,0.5,0.6666666666666667
2806,0.0,0.0
2848,0.0,0.0
2855,0.0,0.0
2866,0.5,0.33333333333333337
2868,0.0,0.0
2889,0.0,0.0
2908,0.0,0.0
291,0.0,0.0
2930,0.5,0.33333333333333337
2946,0.0,0.0
2980,0.0,0.0
2990,0.0,0.0
2993,0.0,0.0
3005,0.0,0.0
3007,0.0,0.0
3010,0.0,0.0
3030,0.0,0.0
3034,0.5,0.33333333333333337
3051,0.0,0.0
3059,0.0,0.0
3061,0.0,0.0
3067,0.0,0.0
3073,0.0,0.0
3078,0.0,0.0
3087,0.0,0.0
3088,0.0,0.0
3090,0.0,0.0
3099,0.0,0.0
3116,0.0,0.0
3123,0.0,0.0
3145,0.0,0.0
3161,0.0,0.0
3168,0.0,0.0
319,0.0,0.0
3197,0.0,0.0
3232,0.0,0.0
325,0.0,0.0
3255,0.0,0.0
3259,0.0,0.0
326,0.0,0.0
3265,0.0,0.0
3282,0.0,0.0
3286,0.0,0.0
3292,0.0,0.0
3295,0.0,0.0
3300,0.0,0.0
3307,0.0,0.0
3314,0.0,0.0
3326,0.0,0.0
333,0.0,0.0
3337,0.0,0.0
3341,0.5,0.33333333333333337
3348,0.0,0.0
335,0.5,0.6666666666666667
3364,0.0,0.0
3374,0.0,0.0
3382,0.0,0.0
3386,0.0,0.0
339,0.0,0.0
3413,0.0,0.0
3423,0.0,0.0
3446,0.0,0.0
3449,0.0,0.0
3463,0.0,0.0
349,0.0,0.0
350,0.0,0.0
3550,0.0,0.0
3552,0.5,0.33333333333333337
3577,0.0,0.0
3585,0.0,0.0
3605,0.0,0.0
3609,0.0,0.0
3612,0.0,0.0
3623,0.0,0.0
3634,0.0,0.0
3635,0.0,0.0
3644,0.0,0.0
3654,0.0,0.0
3668,0.0,0.0
3683,0.0,0.0
3710,0.0,0.0
3721,0.0,0.0
3737,0.0,0.0
3761,0.0,0.0
3782,0.0,0.0
3787,0.0,0.0
3818,0.0,0.0
3820,0.0,0.0
3825,0.5,0.33333333333333337
3830,0.0,0.0
3838,0.0,0.0
3854,0.0,0.0
3872,0.5,0.6666666666666667
3880,0.0,0.0
3881,0.0,0.0
3886,0.0,0.0
3897,0.0,0.0
3924,0.0,0.0
3939,0.0,0.0
3949,0.0,0.0
3979,0.0,0.0
3994,0.0,0.0
4001,0.0,0.0
4012,0.0,0.0
4018,0.0,0.0
4035,0.0,0.0
4036,0.0,0.0
4047,0.0,0.0
4050,0.0,0.0
4053,0.0,0.0
4058,0.5,0.33333333333333337
4081,0.0,0.0
4099,0.0,0.0
4171,0.0,0.0
