dataset,protected_attribute,nodes,edges,budget,budget_ratio,target_alpha,rr_sets,mc_runs_eval,population_size,generations,run_count,mean_f_score,std_f_score,mean_mf,std_mf,mean_dcv_shortfall,std_dcv_shortfall,mean_dcv_disparity,std_dcv_disparity,mean_spread,std_spread,mean_runtime_seconds,std_runtime_seconds,target_coverage_pass_rate,dcv_shortfall_zero_rate,fairness_gate_pass_rate,scalability_pass_rate,fairness_quality_pass_rate,size_class,verdict,embedding_method,community_method,optimizer_mode,diffusion_model,ris_mode,candidate_pool_size,graphsage_training_target,graphsage_hidden_dim,graphsage_embedding_dim,graphsage_epochs_run,graphsage_epochs,use_mf_lift,mf_lift_rounds,mf_lift_candidate_limit,shortfall_repair_rounds,shortfall_repair_candidate_limit,primary_dcv_mode,fscore_mode
graph_spa_500_0,region,500.0,1689.0,50.0,0.1,0.8,1024.0,1000.0,30.0,20.0,1,0.0830860392132446,0.0,0.0884848484848484,0.0,0.0,0.0,0.0215952370864152,0.0,51.895,0.0,1335.939096,0.0,1.0,1.0,1.0,1.0,1.0,small,GOOD,graphsage,leiden,ea_memetic,ic,weak_group_weighted,400.0,combined_fairness_gain,16.0,32.0,50.0,,True,4.0,250.0,,,shortfall,shortfall_primary
synth2,color,500.0,3668.0,10.0,0.02,0.8,64.0,20.0,8.0,1.0,1,0.0146604068857589,0.0,0.0203333333333333,0.0,0.0,0.0,0.0226917057902973,0.0,10.65,0.0,6.037300300000425,0.0,1.0,1.0,0.0,0.0,1.0,small,EXCELLENT,graphsage,leiden,ea_memetic,ic,weak_group_weighted,250.0,combined_fairness_gain,8.0,8.0,2.0,,True,2.0,80.0,,,shortfall,shortfall_primary
synth2,color,500.0,3668.0,40.0,0.08,0.8,1024.0,1000.0,30.0,20.0,1,0.08015655216058,0.0,0.0829685714285714,0.0,0.0,0.0,0.0112480770719653,0.0,42.439,0.0,15.77734369999962,0.0,1.0,1.0,1.0,1.0,1.0,small,EXCELLENT,graphsage,leiden,ea_memetic,ic,weak_group_weighted,250.0,combined_fairness_gain,16.0,32.0,50.0,,True,4.0,200.0,,,shortfall,shortfall_primary
synth2,color,500.0,3668.0,40.0,0.08,0.8,2048.0,1000.0,60.0,50.0,1,0.0823408346769234,0.0,0.0844771428571428,0.0,0.0,0.0,0.0085452327208778,0.0,42.973,0.0,76.60746349999997,0.0,1.0,1.0,1.0,1.0,1.0,small,GOOD,graphsage,leiden,ea_memetic,ic,weak_group_weighted,250.0,combined_fairness_gain,32.0,64.0,100.0,,True,8.0,500.0,,,shortfall,shortfall_primary
synth2,color,500.0,3668.0,40.0,0.08,0.8,1024.0,500.0,40.0,30.0,1,0.0800660242911707,0.0,0.0829028571428571,0.0,0.0,0.0,0.0113473314067457,0.0,42.414,0.0,22.808003999999755,0.0,1.0,1.0,1.0,1.0,1.0,small,EXCELLENT,graphsage,leiden,ea_memetic,ic,weak_group_weighted,250.0,combined_fairness_gain,16.0,32.0,50.0,,True,4.0,200.0,,,shortfall,shortfall_primary
synth2,color,500.0,3668.0,40.0,0.08,0.8,2048.0,1000.0,60.0,50.0,1,0.0776651520661413,0.0,0.0824866666666666,0.0,0.0,0.0,0.0192860584021011,0.0,42.898,0.0,71.25518379999994,0.0,1.0,1.0,1.0,1.0,1.0,small,GOOD,graphsage,leiden,ea_memetic,ic,weak_group_weighted,250.0,combined_fairness_gain,32.0,64.0,100.0,,False,5.0,300.0,,,shortfall,shortfall_primary
twitter,color,3753.0,13986.0,120.0,0.0319744204636291,0.8,1024.0,500.0,40.0,30.0,1,0.0287312668814682,0.0,0.0316312159709618,0.0,0.0,0.0,0.0115997963579745,0.0,122.992,0.0,305.6506679999984,0.0,1.0,1.0,0.0,0.0,1.0,medium,GOOD,graphsage,leiden,ea_memetic,ic,weak_group_weighted,2252.0,combined_fairness_gain,16.0,32.0,50.0,,True,4.0,200.0,,,shortfall,shortfall_primary
twitter,color,3753.0,13986.0,120.0,0.0319744204636291,0.8,2048.0,1000.0,60.0,50.0,1,0.0276181004936386,0.0,0.0317165154264972,0.0,0.0,0.0,0.0163936597314346,0.0,125.189,0.0,1142.8171498000002,0.0,1.0,1.0,0.0,0.0,1.0,medium,GOOD,graphsage,leiden,ea_memetic,ic,weak_group_weighted,2252.0,combined_fairness_gain,32.0,64.0,100.0,,,,,,,shortfall,shortfall_primary
twitter,color,3753.0,13986.0,120.0,0.0319744204636291,0.8,1024.0,1000.0,30.0,20.0,6,0.0292157063890902,0.0022081451294205445,0.03191028433151843,0.0007638127423166787,0.0,0.0,0.010778311769712801,0.005934159909820948,123.7545,1.2132722283148174,157.92904435000005,13.38334207047691,1.0,1.0,0.0,0.0,1.0,medium,EXCELLENT,graphsage,leiden,ea_memetic,ic,weak_group_weighted,2252.0,combined_fairness_gain,16.0,32.0,50.0,,True,3.0,150.0,,,shortfall,shortfall_primary
twitter,color,3753.0,13986.0,120.0,0.0319744204636291,0.8,2048.0,1000.0,60.0,50.0,1,0.0298278300399688,0.0,0.0319241379310344,0.0,0.0,0.0,0.0083852315642623,0.0,122.903,0.0,1237.2447041000014,0.0,1.0,1.0,0.0,0.0,1.0,medium,GOOD,graphsage,leiden,ea_memetic,ic,weak_group_weighted,2252.0,combined_fairness_gain,32.0,64.0,64.0,,True,8.0,700.0,,,shortfall,shortfall_primary
twitter,color,3753.0,13986.0,120.0,0.0319744204636291,0.8,512.0,300.0,30.0,20.0,1,0.0310662594027205,0.0,0.0324053236539624,0.0,0.0,0.0,0.0053562570049677,0.0,123.60333333333334,0.0,130.80376239999987,0.0,1.0,1.0,0.0,0.0,1.0,medium,EXCELLENT,graphsage,leiden,ea_memetic,ic,weak_group_weighted,2252.0,combined_fairness_gain,16.0,32.0,50.0,,True,3.0,150.0,,,shortfall,shortfall_primary
