generation,best_score,mean_score,best_spread,best_mf,best_mf_to_ideal,best_dcv,population_diversity,best_seed_nodes,best_seed_groups,best_seed_communities,best_seed_group_counts,best_seed_labels
55,0.5,0.5,7.666666666666667,0.015333333333333334,1.0,0.0,0.8698075801749271,"[271, 13, 303, 126]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 1, 14, 3]",{'__missing__': 4},"['271|g=__missing__|c=15', '13|g=__missing__|c=1', '303|g=__missing__|c=14', '126|g=__missing__|c=3']"
56,0.5,0.5,7.666666666666667,0.015333333333333334,1.0,0.0,0.8698075801749271,"[271, 13, 303, 126]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 1, 14, 3]",{'__missing__': 4},"['271|g=__missing__|c=15', '13|g=__missing__|c=1', '303|g=__missing__|c=14', '126|g=__missing__|c=3']"
57,0.5,0.5,7.666666666666667,0.015333333333333334,1.0,0.0,0.8698075801749271,"[271, 13, 303, 126]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 1, 14, 3]",{'__missing__': 4},"['271|g=__missing__|c=15', '13|g=__missing__|c=1', '303|g=__missing__|c=14', '126|g=__missing__|c=3']"
58,0.5,0.5,7.666666666666667,0.015333333333333334,1.0,0.0,0.8646763848396504,"[271, 13, 303, 126]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 1, 14, 3]",{'__missing__': 4},"['271|g=__missing__|c=15', '13|g=__missing__|c=1', '303|g=__missing__|c=14', '126|g=__missing__|c=3']"
59,0.5,0.5,7.666666666666667,0.015333333333333334,1.0,0.0,0.8668532555879495,"[271, 13, 303, 126]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 1, 14, 3]",{'__missing__': 4},"['271|g=__missing__|c=15', '13|g=__missing__|c=1', '303|g=__missing__|c=14', '126|g=__missing__|c=3']"
60,0.5,0.5,7.666666666666667,0.015333333333333334,1.0,0.0,0.8668532555879495,"[271, 13, 303, 126]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 1, 14, 3]",{'__missing__': 4},"['271|g=__missing__|c=15', '13|g=__missing__|c=1', '303|g=__missing__|c=14', '126|g=__missing__|c=3']"
61,0.5,0.5,7.666666666666667,0.015333333333333334,1.0,0.0,0.8641632653061225,"[271, 13, 303, 126]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 1, 14, 3]",{'__missing__': 4},"['271|g=__missing__|c=15', '13|g=__missing__|c=1', '303|g=__missing__|c=14', '126|g=__missing__|c=3']"
62,0.5,0.5,7.666666666666667,0.015333333333333334,1.0,0.0,0.8654849368318756,"[271, 13, 303, 126]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 1, 14, 3]",{'__missing__': 4},"['271|g=__missing__|c=15', '13|g=__missing__|c=1', '303|g=__missing__|c=14', '126|g=__missing__|c=3']"
63,0.5,0.5,7.666666666666667,0.015333333333333334,1.0,0.0,0.8648629737609331,"[271, 13, 303, 126]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 1, 14, 3]",{'__missing__': 4},"['271|g=__missing__|c=15', '13|g=__missing__|c=1', '303|g=__missing__|c=14', '126|g=__missing__|c=3']"
64,0.5,0.5,7.666666666666667,0.015333333333333334,1.0,0.0,0.8648629737609331,"[271, 13, 303, 126]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 1, 14, 3]",{'__missing__': 4},"['271|g=__missing__|c=15', '13|g=__missing__|c=1', '303|g=__missing__|c=14', '126|g=__missing__|c=3']"
