generation,best_score,mean_score,best_spread,best_mf,best_mf_to_ideal,best_dcv,population_diversity,best_seed_nodes,best_seed_groups,best_seed_communities,best_seed_group_counts,best_seed_labels
43,0.45299145299145305,0.43554923066362433,5.2,0.009666666666666667,0.9294871794871796,0.02350427350427352,0.834301263362488,"[178, 170, 417, 453]","['1', '1', '0', '2']","[2, 0, 6, 19]","{'1': 2, '0': 1, '2': 1}","['178|g=1|c=2', '170|g=1|c=0', '417|g=0|c=6', '453|g=2|c=19']"
44,0.45299145299145305,0.43581142709603354,5.2,0.009666666666666667,0.9294871794871796,0.02350427350427352,0.8306861030126338,"[178, 170, 417, 453]","['1', '1', '0', '2']","[2, 0, 6, 19]","{'1': 2, '0': 1, '2': 1}","['178|g=1|c=2', '170|g=1|c=0', '417|g=0|c=6', '453|g=2|c=19']"
45,0.5,0.43766946483779223,4.8,0.0096,1.0,0.0,0.8303751214771624,"[9, 178, 235, 417]","['1', '1', '1', '0']","[1, 2, 0, 6]","{'1': 3, '0': 1, '2': 0}","['9|g=1|c=1', '178|g=1|c=2', '235|g=1|c=0', '417|g=0|c=6']"
46,0.5,0.43766946483779223,4.8,0.0096,1.0,0.0,0.8303751214771624,"[9, 178, 235, 417]","['1', '1', '1', '0']","[1, 2, 0, 6]","{'1': 3, '0': 1, '2': 0}","['9|g=1|c=1', '178|g=1|c=2', '235|g=1|c=0', '417|g=0|c=6']"
47,0.5,0.43776857376668843,4.8,0.0096,1.0,0.0,0.8184567541302236,"[9, 178, 235, 417]","['1', '1', '1', '0']","[1, 2, 0, 6]","{'1': 3, '0': 1, '2': 0}","['9|g=1|c=1', '178|g=1|c=2', '235|g=1|c=0', '417|g=0|c=6']"
48,0.5,0.4381148027253133,4.8,0.0096,1.0,0.0,0.804128279883382,"[9, 178, 235, 417]","['1', '1', '1', '0']","[1, 2, 0, 6]","{'1': 3, '0': 1, '2': 0}","['9|g=1|c=1', '178|g=1|c=2', '235|g=1|c=0', '417|g=0|c=6']"
49,0.5,0.4381148027253133,4.8,0.0096,1.0,0.0,0.804128279883382,"[9, 178, 235, 417]","['1', '1', '1', '0']","[1, 2, 0, 6]","{'1': 3, '0': 1, '2': 0}","['9|g=1|c=1', '178|g=1|c=2', '235|g=1|c=0', '417|g=0|c=6']"
50,0.5,0.4381148027253133,4.8,0.0096,1.0,0.0,0.804128279883382,"[9, 178, 235, 417]","['1', '1', '1', '0']","[1, 2, 0, 6]","{'1': 3, '0': 1, '2': 0}","['9|g=1|c=1', '178|g=1|c=2', '235|g=1|c=0', '417|g=0|c=6']"
51,0.5,0.4381148027253133,4.8,0.0096,1.0,0.0,0.804128279883382,"[9, 178, 235, 417]","['1', '1', '1', '0']","[1, 2, 0, 6]","{'1': 3, '0': 1, '2': 0}","['9|g=1|c=1', '178|g=1|c=2', '235|g=1|c=0', '417|g=0|c=6']"
52,0.5,0.4382572528677634,4.8,0.0096,1.0,0.0,0.7948921282798834,"[9, 178, 235, 417]","['1', '1', '1', '0']","[1, 2, 0, 6]","{'1': 3, '0': 1, '2': 0}","['9|g=1|c=1', '178|g=1|c=2', '235|g=1|c=0', '417|g=0|c=6']"
53,0.5,0.43840526396859597,4.8,0.0096,1.0,0.0,0.7914324586977649,"[9, 178, 235, 417]","['1', '1', '1', '0']","[1, 2, 0, 6]","{'1': 3, '0': 1, '2': 0}","['9|g=1|c=1', '178|g=1|c=2', '235|g=1|c=0', '417|g=0|c=6']"
54,0.5,0.4396582190513383,4.8,0.0096,1.0,0.0,0.7908882410106901,"[9, 178, 235, 417]","['1', '1', '1', '0']","[1, 2, 0, 6]","{'1': 3, '0': 1, '2': 0}","['9|g=1|c=1', '178|g=1|c=2', '235|g=1|c=0', '417|g=0|c=6']"
55,0.5,0.4396582190513383,4.8,0.0096,1.0,0.0,0.7908882410106901,"[9, 178, 235, 417]","['1', '1', '1', '0']","[1, 2, 0, 6]","{'1': 3, '0': 1, '2': 0}","['9|g=1|c=1', '178|g=1|c=2', '235|g=1|c=0', '417|g=0|c=6']"
56,0.5,0.43990533908106705,4.8,0.0096,1.0,0.0,0.7764820213799807,"[9, 178, 235, 417]","['1', '1', '1', '0']","[1, 2, 0, 6]","{'1': 3, '0': 1, '2': 0}","['9|g=1|c=1', '178|g=1|c=2', '235|g=1|c=0', '417|g=0|c=6']"
57,0.5,0.4401675355134762,4.8,0.0096,1.0,0.0,0.7759766763848397,"[9, 178, 235, 417]","['1', '1', '1', '0']","[1, 2, 0, 6]","{'1': 3, '0': 1, '2': 0}","['9|g=1|c=1', '178|g=1|c=2', '235|g=1|c=0', '417|g=0|c=6']"
58,0.5,0.4404275827948001,4.8,0.0096,1.0,0.0,0.7792031098153548,"[9, 178, 235, 417]","['1', '1', '1', '0']","[1, 2, 0, 6]","{'1': 3, '0': 1, '2': 0}","['9|g=1|c=1', '178|g=1|c=2', '235|g=1|c=0', '417|g=0|c=6']"
59,0.5,0.44116699841793666,4.8,0.0096,1.0,0.0,0.7792031098153548,"[9, 178, 235, 417]","['1', '1', '1', '0']","[1, 2, 0, 6]","{'1': 3, '0': 1, '2': 0}","['9|g=1|c=1', '178|g=1|c=2', '235|g=1|c=0', '417|g=0|c=6']"
60,0.5,0.44232084457178283,4.8,0.0096,1.0,0.0,0.7917434402332362,"[9, 178, 235, 417]","['1', '1', '1', '0']","[1, 2, 0, 6]","{'1': 3, '0': 1, '2': 0}","['9|g=1|c=1', '178|g=1|c=2', '235|g=1|c=0', '417|g=0|c=6']"
61,0.5,0.44232084457178283,4.8,0.0096,1.0,0.0,0.7917434402332362,"[9, 178, 235, 417]","['1', '1', '1', '0']","[1, 2, 0, 6]","{'1': 3, '0': 1, '2': 0}","['9|g=1|c=1', '178|g=1|c=2', '235|g=1|c=0', '417|g=0|c=6']"
