generation,best_score,mean_score,best_spread,best_mf,best_mf_to_ideal,best_dcv,population_diversity,best_seed_nodes,best_seed_groups,best_seed_communities,best_seed_group_counts,best_seed_labels
0,0.5,0.5,5.333333333333333,0.010666666666666666,1.0,0.0,0.9727035957240039,"[12, 297, 47, 101]","['__missing__', '__missing__', '__missing__', '__missing__']","[0, 16, 5, 2]",{'__missing__': 4},"['12|g=__missing__|c=0', '297|g=__missing__|c=16', '47|g=__missing__|c=5', '101|g=__missing__|c=2']"
23,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.9097920310981537,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
24,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.898915451895044,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
25,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.8954480077745386,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
26,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.8929446064139944,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
27,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.891910592808552,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
28,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.8901768707482993,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
29,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.8933255587949466,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
30,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.8917628765792031,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
31,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.8894227405247814,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
32,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.8901068999028184,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
33,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.8901068999028184,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
34,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.8870748299319728,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
35,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.8913508260447036,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
36,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.8886608357628768,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
37,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.8879378036929061,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
38,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.8812672497570458,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
39,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.8812672497570458,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
40,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.8811195335276968,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
41,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.8804897959183675,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
42,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.8804897959183675,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
43,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.8730884353741496,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
44,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.862857142857143,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
45,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.8533644314868805,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
46,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.8533644314868805,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
47,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.8516929057337222,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
48,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.8516929057337222,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
49,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.8488629737609331,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
50,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.8488629737609331,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
51,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.8439261418853256,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
52,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.8361127308066085,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
53,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.8225072886297378,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
54,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.8225072886297378,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
55,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.8225072886297378,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
56,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.8225072886297378,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
57,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.8225072886297378,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
58,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.8225072886297378,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
59,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.8220796890184646,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
60,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.8125558794946551,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
61,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.8125558794946551,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
62,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.8125558794946551,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
63,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.8125558794946551,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
64,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.8082410106899903,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
65,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.8082410106899903,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
66,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.8033430515063168,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
67,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.8029698736637513,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
68,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.7926219630709428,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
69,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.7926219630709428,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
70,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.7926219630709428,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
71,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.7926219630709428,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
72,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.7944567541302237,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
73,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.7944567541302237,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
74,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.7944567541302237,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
75,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.7944567541302237,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
76,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.7945733722060253,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
77,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.7945733722060253,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
78,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.7945733722060253,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
79,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.7945733722060253,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
