generation,best_score,mean_score,best_spread,best_mf,best_mf_to_ideal,best_dcv,population_diversity,best_seed_nodes,best_seed_groups,best_seed_communities,best_seed_group_counts,best_seed_labels
27,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.5495898931000973,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
28,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.5460602526724977,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
29,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.537399416909621,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
30,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.5252478134110788,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
31,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.5307444120505346,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
32,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.528077745383868,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
33,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.528077745383868,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
34,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.5172011661807581,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
35,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.508058309037901,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
36,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.4880466472303208,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
37,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.4822235179786201,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
38,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.46105344995140923,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
39,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.444237123420797,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
40,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.40829543245869787,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
