node_id,candidate_group,ml_score,ris_score,fair_ris_score,candidate_group_shortfall_ratio,dynamic_shortfall_bonus,shortfall_weighted_fair_ris_score,fairness_bonus,weak_group_bonus,community_diversity_bonus,cluster_diversity_bonus,cluster_coverage_bonus,protected_group_coverage_bonus,spread_proxy_score,under_served_group_bonus,over_served_group_penalty,parity_adjusted_score,base_combined_score,target_deficit_adjusted_score,combined_score,score_normalization
425,palmdale,0.01611356125625709,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0006282924943212033,0.01611356125625709,0.0,0.0,0.7038510047455725,0.7038510047455725,0.7038510047455725,0.7038510047455725,per_group
426,palmdale,0.03504875253117904,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0006282924943212033,0.03504875253117904,0.0,0.0,0.7076380430005569,0.7076380430005569,0.7076380430005569,0.7076380430005569,per_group
427,palmdale,0.0066862398112636405,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0006282924943212033,0.0066862398112636405,0.0,0.0,0.7019655404565739,0.7019655404565739,0.7019655404565739,0.7019655404565739,per_group
428,palmdale,0.20323961369833868,0.25,0.25,0.0,0.0,0.25,0.75,0.75,0.3333333333333333,0.0,0.0,0.0006282924943212033,0.20323961369833868,0.0,0.0,1.7746095485673221,1.7746095485673221,1.7746095485673221,1.7746095485673221,per_group
429,palmdale,0.020690763205607216,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0006282924943212033,0.020690763205607216,0.0,0.0,2.804766445135442,2.804766445135442,2.804766445135442,2.804766445135442,per_group
43,lancaster,0.3001874811069319,0.4,0.39999999999999997,0.0,0.0,0.39999999999999997,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3001874811069319,0.0,0.0,1.7133708295547196,1.7133708295547196,1.7133708295547196,1.7133708295547196,per_group
430,palmdale,0.032205487907595136,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0006282924943212033,0.032205487907595136,0.0,0.0,1.4070693900758402,1.4070693900758402,1.4070693900758402,1.4070693900758402,per_group
431,palmdale,0.024430773559671437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006282924943212033,0.024430773559671437,0.0,0.0,0.005514447206255491,0.005514447206255491,0.005514447206255491,0.005514447206255491,per_group
432,palmdale,0.02842520205207366,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0006282924943212033,0.02842520205207366,0.0,0.0,0.7063133329047359,0.7063133329047359,0.7063133329047359,0.7063133329047359,per_group
433,palmdale,0.02799372482960272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006282924943212033,0.02799372482960272,0.0,0.0,0.006227037460241748,0.006227037460241748,0.006227037460241748,0.006227037460241748,per_group
434,palmdale,0.08276447090324068,0.7499999999999999,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0006282924943212033,0.08276447090324068,0.0,0.0,2.1171811866749692,2.1171811866749692,2.1171811866749692,2.1171811866749692,per_group
435,palmdale,0.024430773559671437,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0006282924943212033,0.024430773559671437,0.0,0.0,0.7055144472062554,0.7055144472062554,0.7055144472062554,0.7055144472062554,per_group
436,palmdale,0.03701009600352916,0.7499999999999999,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0006282924943212033,0.03701009600352916,0.0,0.0,2.108030311695027,2.108030311695027,2.108030311695027,2.108030311695027,per_group
437,palmdale,0.06432447062420511,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0006282924943212033,0.06432447062420511,0.0,0.0,1.4134931866191622,1.4134931866191622,1.4134931866191622,1.4134931866191622,per_group
