dataset,community_method,method,variant_type,seed_set,total_spread,mf,dcv,f_score,runtime_seconds,candidate_pool_size,swarm_guidance,crossover,local_search,community_aware_mutation,node2vec_enabled,note,community_modularity,num_communities,largest_community_size,smallest_community_size,average_community_size,community_size_std
synth3,louvain,degree,baseline,"[169, 178, 269, 292]",4.35,0.0,0.6666666666666666,-0.3333333333333333,0.002149300002201926,500,False,False,False,False,False,,0.43522044871918336,27,111,1,18.51851851851852,27.36227515227702
synth3,louvain,pagerank,baseline,"[169, 269, 430, 9]",4.6,0.0004,0.3188405797101449,-0.15922028985507244,0.005667299999913666,500,False,False,False,False,False,,0.43522044871918336,27,111,1,18.51851851851852,27.36227515227702
synth3,louvain,community_round_robin,baseline,"[203, 269, 292, 9]",4.9,0.0,0.6666666666666666,-0.3333333333333333,0.005703300001187017,500,False,False,False,True,False,,0.43522044871918336,27,111,1,18.51851851851852,27.36227515227702
synth3,louvain,random,baseline,"[139, 297, 393, 446]",4.05,0.006833333333333333,0.05624142661179696,-0.024704046639231814,0.000812700000096811,500,False,False,False,False,False,,0.43522044871918336,27,111,1,18.51851851851852,27.36227515227702
synth3,louvain,cea_fim,comparator,"[169, 269, 327, 452]",4.6,0.008333333333333333,0.04589371980676321,-0.01878019323671494,0.086715199999162,500,False,True,False,True,False,CEA-style baseline: community EA without swarm guidance or local search.; history=synth3_budget4_louvain_cea_fim_history.csv,0.43522044871918336,27,111,1,18.51851851851852,27.36227515227702
synth3,louvain,hybrid_siea,proposed,"[170, 327, 452, 9]",4.4,0.007666666666666666,0.04292929292929296,-0.017631313131313147,1.3390747000012198,500,True,True,True,True,False,history=synth3_budget4_louvain_hybrid_siea_history.csv,0.43522044871918336,27,111,1,18.51851851851852,27.36227515227702
synth3,louvain,hybrid_no_swarm,ablation,"[169, 327, 452, 9]",4.4,0.007666666666666666,0.04292929292929296,-0.017631313131313147,1.0329743999973289,500,False,True,True,True,False,Ablation: swarm guidance disabled.; history=synth3_budget4_louvain_hybrid_no_swarm_history.csv,0.43522044871918336,27,111,1,18.51851851851852,27.36227515227702
synth3,louvain,hybrid_no_crossover,ablation,"[134, 327, 452, 9]",4.4,0.007666666666666666,0.04292929292929296,-0.017631313131313147,0.8040469000006851,500,True,False,True,True,False,Ablation: crossover disabled.; history=synth3_budget4_louvain_hybrid_no_crossover_history.csv,0.43522044871918336,27,111,1,18.51851851851852,27.36227515227702
synth3,louvain,hybrid_no_local_search,ablation,"[251, 269, 370, 452]",4.5,0.007833333333333333,0.04320987654320984,-0.017688271604938254,0.10638680000192835,500,True,True,False,True,False,Ablation: local search disabled.; history=synth3_budget4_louvain_hybrid_no_local_search_history.csv,0.43522044871918336,27,111,1,18.51851851851852,27.36227515227702
synth3,louvain,hybrid_no_community_mutation,ablation,"[134, 327, 452, 9]",4.4,0.007666666666666666,0.04292929292929296,-0.017631313131313147,1.2409115000009479,500,True,True,True,False,False,Ablation: community-aware mutation bonus disabled.; history=synth3_budget4_louvain_hybrid_no_community_mutation_history.csv,0.43522044871918336,27,111,1,18.51851851851852,27.36227515227702
