node_id,ml_score,ris_score,fair_ris_score,fairness_bonus,community_diversity_bonus,combined_score
22,0.2269887937372929,0.0,0.0,0.0,0.3333333333333333,0.29365546040395957
220,0.15707882731918216,0.0,0.0,0.0,0.0,0.15707882731918216
221,0.18700871517700796,0.0,0.0,0.0,0.0,0.18700871517700796
222,0.16942131462521068,0.5,0.3295976937187676,0.0,0.0,0.8342201614845945
223,0.4476413031916873,0.0,0.0,0.4444444444444444,0.6666666666666666,0.6698635254139095
224,0.2666545035673546,1.0,1.0,0.0,0.0,1.7666545035673547
225,0.18849049728659578,0.0,0.0,0.0,0.0,0.18849049728659578
226,0.29233468381015215,0.0,0.0,0.0,0.0,0.29233468381015215
227,0.3536675387054931,0.0,0.0,0.2,0.16666666666666666,0.4270008720388264
228,0.31936673229043355,0.0,0.0,0.0,0.0,0.31936673229043355
229,0.3092834625784056,0.5,0.5,0.0,0.0,1.0592834625784056
23,0.3393510221236748,0.0,0.0,0.14285714285714285,0.3333333333333333,0.43458911736177
230,0.27807207813797624,0.5,0.5,0.0,0.0,1.0280720781379762
231,0.2541022402089774,0.0,0.0,0.3333333333333333,0.16666666666666666,0.3541022402089774
232,0.020218678243899967,0.0,0.0,0.0,0.0,0.020218678243899967
233,0.2214605430226583,0.0,0.0,0.0,0.0,0.2214605430226583
234,0.19865977242350252,0.0,0.0,0.0,0.0,0.19865977242350252
235,0.31895757644588646,0.0,0.0,0.0,0.0,0.31895757644588646
236,0.20623553507089756,0.0,0.0,0.0,0.0,0.20623553507089756
237,0.3030285762869103,0.5,0.5,0.0,0.0,1.0530285762869103
238,0.5371485350310846,0.5,0.49572000171064057,0.45454545454545453,0.6666666666666666,1.5092509601288289
239,0.25370962386921475,0.0,0.0,0.0,0.0,0.25370962386921475
24,0.30020996901323777,0.0,0.0,0.1111111111111111,0.5,0.42243219123545994
240,0.18664437351447188,0.0,0.0,0.0,0.0,0.18664437351447188
241,0.23580568869966295,0.0,0.0,0.0,0.0,0.23580568869966295
242,0.21044598105194953,0.0,0.0,0.0,0.0,0.21044598105194953
243,0.3200677710146518,0.0,0.0,0.5,0.3333333333333333,0.4867344376813184
244,0.15986711216741664,0.0,0.0,0.0,0.0,0.15986711216741664
245,0.32149544531573065,0.0,0.0,0.2,0.16666666666666666,0.39482877864906396
246,0.20456480880903477,0.0,0.0,0.0,0.0,0.20456480880903477
247,0.16188308090176687,0.0,0.0,0.0,0.0,0.16188308090176687
248,0.13481161326841604,0.0,0.0,0.0,0.0,0.13481161326841604
249,0.19471994424454178,0.0,0.0,0.0,0.0,0.19471994424454178
25,0.21036446492122648,0.0,0.0,0.0,0.0,0.21036446492122648
250,0.21993965679818736,0.5,0.49572000171064057,0.0,0.0,0.9677996576535077
251,0.206461771868484,0.0,0.0,0.0,0.0,0.206461771868484
252,0.15028613146378123,0.0,0.0,0.0,0.0,0.15028613146378123
253,0.16505583047669176,0.0,0.0,0.0,0.0,0.16505583047669176
254,0.19865292034294899,0.5,0.49572000171064057,0.0,0.0,0.9465129211982692
255,0.1937098530594953,0.0,0.0,0.0,0.0,0.1937098530594953
256,0.23820226294292055,0.0,0.0,0.0,0.0,0.23820226294292055
257,0.19101639470535797,0.0,0.0,0.0,0.0,0.19101639470535797
258,0.18447257901718875,0.0,0.0,0.0,0.0,0.18447257901718875
259,0.1786057803915271,0.0,0.0,0.0,0.0,0.1786057803915271
26,0.2470798027561667,0.0,0.0,0.0,0.3333333333333333,0.31374646942283335
260,0.1331105645811152,0.0,0.0,0.0,0.0,0.1331105645811152
261,0.4351171176116703,0.0,0.0,0.16666666666666666,0.3333333333333333,0.5351171176116704
262,0.09192199953791774,0.0,0.0,0.0,0.0,0.09192199953791774
263,0.710504755363594,0.0,0.0,0.38461538461538464,0.6666666666666666,0.9207611656200043
264,0.5406615258472883,0.0,0.0,0.0,0.5,0.6406615258472883
265,0.4911089332346266,0.0,0.0,0.0,0.5,0.5911089332346267
266,0.31066380239198255,0.5,0.32903920787497926,0.0,0.16666666666666666,1.0085167396628056
267,0.374020501976333,0.0,0.0,0.0,0.3333333333333333,0.44068716864299967
268,0.23297940237019768,0.0,0.0,0.0,0.16666666666666666,0.26631273570353103
269,0.1627962190849582,0.0,0.0,0.0,0.16666666666666666,0.19612955241829153
27,0.17804540621752277,0.5,0.3295976937187676,0.0,0.0,0.8428442530769066
270,0.2531720112041756,0.0,0.0,0.0,0.0,0.2531720112041756
271,1.0,0.0,0.0,0.038461538461538464,1.0,1.2076923076923076
272,0.3975230595153996,0.5,0.32903920787497926,0.0,0.3333333333333333,1.1287093301195559
273,0.1584783844621276,0.0,0.0,0.0,0.0,0.1584783844621276
274,0.37064313509936125,0.0,0.0,0.0,0.16666666666666666,0.4039764684326946
275,0.30987778211699124,0.0,0.0,0.0,0.3333333333333333,0.3765444487836579
276,0.35881927940764313,0.0,0.0,0.0,0.16666666666666666,0.39215261274097646
277,0.12698133914620793,0.0,0.0,0.0,0.0,0.12698133914620793
278,0.43274771541198703,0.0,0.0,0.0,0.16666666666666666,0.46608104874532036
279,0.17006958445321205,0.0,0.0,0.0,0.0,0.17006958445321205
28,0.13644465308723444,0.0,0.0,0.0,0.0,0.13644465308723444
280,0.27680121409416264,0.0,0.0,0.0,0.0,0.27680121409416264
281,0.2650990419019296,0.0,0.0,0.0,0.0,0.2650990419019296
282,0.4265252386739145,0.0,0.0,0.0,0.3333333333333333,0.49319190534058116
283,0.10746874023750808,0.0,0.0,0.0,0.0,0.10746874023750808
284,0.29602385973208284,0.0,0.0,0.0,0.16666666666666666,0.32935719306541617
285,0.3597377732400027,0.0,0.0,0.14285714285714285,0.3333333333333333,0.45497586847809796
286,0.1902771576010425,1.0,0.6580784157499585,0.0,0.0,1.5193163654760218
287,0.5362440603980184,0.0,0.0,0.0,0.6666666666666666,0.6695773937313517
288,0.08447811975129153,0.0,0.0,0.0,0.0,0.08447811975129153
289,0.30540077445049757,0.0,0.0,0.0,0.16666666666666666,0.3387341077838309
29,0.07279626752207935,0.0,0.0,0.0,0.0,0.07279626752207935
290,0.1613919363692172,0.0,0.0,0.0,0.0,0.1613919363692172
291,0.20754755097780567,0.0,0.0,0.0,0.16666666666666666,0.240880884311139
292,0.1869662637813947,0.0,0.0,0.0,0.16666666666666666,0.22029959711472802
293,0.3284299083549978,0.5,0.32903920787497926,0.0,0.3333333333333333,1.059616178959154
294,0.18508942378609977,0.5,0.32903920787497926,0.0,0.16666666666666666,0.8829423610569228
295,0.16465510190363006,0.5,0.32903920787497926,0.0,0.0,0.8291747058411197
296,0.10867947136749846,0.0,0.0,0.0,0.16666666666666666,0.1420128047008318
297,0.35129419852848026,0.5,0.32903920787497926,0.0,0.16666666666666666,1.0491471357993034
298,0.47832586502496066,0.0,0.0,0.0,0.3333333333333333,0.5449925316916273
299,0.22821878157642508,0.0,0.0,0.0,0.16666666666666666,0.26155211490975844
3,0.09710902451694112,0.0,0.0,0.0,0.0,0.09710902451694112
30,0.0985391403639644,0.0,0.0,0.0,0.16666666666666666,0.13187247369729774
300,0.24906785123124997,0.5,0.32903920787497926,0.0,0.16666666666666666,0.946920788502073
301,0.21163816430871743,0.0,0.0,0.0,0.0,0.21163816430871743
302,0.25899801238470244,0.5,0.32903920787497926,0.0,0.16666666666666666,0.9568509496555254
303,0.4024963310849714,0.0,0.0,0.09090909090909091,0.3333333333333333,0.48734481593345624
304,0.1537806137865357,0.0,0.0,0.0,0.0,0.1537806137865357
305,0.09759150549936565,0.0,0.0,0.0,0.0,0.09759150549936565
306,0.2386805696693757,0.0,0.0,0.0,0.16666666666666666,0.27201390300270906
307,0.14657923464386724,0.0,0.0,0.0,0.0,0.14657923464386724
308,0.3055461251937337,0.0,0.0,0.0,0.0,0.3055461251937337
309,0.30173735290030257,0.0,0.0,0.0,0.0,0.30173735290030257
31,0.18281532063779324,0.5,0.3295976937187676,0.0,0.0,0.8476141674971771
310,0.216849683506731,0.0,0.0,0.0,0.0,0.216849683506731
311,0.1743507171273306,0.0,0.0,0.0,0.0,0.1743507171273306
312,0.3360574554042773,0.0,0.0,0.0,0.3333333333333333,0.40272412207094394
313,0.29548179715266126,0.0,0.0,0.0,0.0,0.29548179715266126
314,0.20759378283165536,0.0,0.0,0.0,0.16666666666666666,0.24092711616498869
315,0.2104696876754738,0.0,0.0,0.0,0.0,0.2104696876754738
